Match,Time,Result,Player,Team,Opponent,X ball,Y ball,X player,Y player,Game State,Crossed?,Not from Cross,Indirectly from Cross,Directly from Cross
Match 2,74:16,Off Target,Iain Hume,Atlético de Kolkata,Chennaiyin FC,14.0,27.0,19.0,45.0,-1,Indirectly from Cross,0,1,0
Match 2,77:34,On Target,Iain Hume,Atlético de Kolkata,Chennaiyin FC,16.0,32.0,21.0,45.0,-1,Not from Cross,1,0,0
Match 2,83:52,Off Target,MacPherlin Omagbemi,Chennaiyin FC,Atlético de Kolkata,17.0,35.0,21.0,33.0,1,Not from Cross,1,0,0
Match 2,86:21,On Target,Iain Hume,Atlético de Kolkata,Chennaiyin FC,14.0,36.0,20.0,34.0,-1,Not from Cross,1,0,0
Match 2,88:41,Off Target,Jayesh Rane,Chennaiyin FC,Atlético de Kolkata,17.0,35.0,25.0,52.0,0,Not from Cross,1,0,0
Match 3,10:50,On Target,Arata Izumi,FC Pune City,Mumbai City FC,11.48,36.22,17.83,40.38,0,Indirectly from Cross,0,1,0
Match 3,16:1,On Target,Jonatan Lucca,FC Pune City,Mumbai City FC,11.23,38.43,20.51,44.06,0,Not from Cross,1,0,0
Match 3,23:3,On Target,Pronay Halder,Mumbai City FC,FC Pune City,9.63,29.86,31.06,24.48,0,Not from Cross,1,0,0
Match 3,31:12,Off Target,Lucian Goian,Mumbai City FC,FC Pune City,1.71,27.66,8.79,33.04,0,Not from Cross,1,0,0
Match 3,38:28,On Target,Gustavo Oberman,FC Pune City,Mumbai City FC,11.72,37.94,16.36,44.3,0,Not from Cross,1,0,0
Match 3,45:48,On Target,Krisztián Vadócz,Mumbai City FC,FC Pune City,3.66,35.73,6.59,36.22,0,Not from Cross,1,0,0
Match 3,49:24,Off Target,Sehnaj Singh,Mumbai City FC,FC Pune City,5.13,30.59,20.76,32.31,0,Not from Cross,1,0,0
Match 3,62:3,Off Target,L'aihsanga Ralte,Mumbai City FC,FC Pune City,8.3,30.59,19.05,52.38,0,Not from Cross,1,0,0
Match 3,66:6,On Target,Lenny Rodrigues,FC Pune City,Mumbai City FC,11.97,31.33,21.24,30.1,0,Not from Cross,1,0,0
Match 3,68:57,Goal,Matías Defederico,Mumbai City FC,FC Pune City,5.86,34.51,26.86,41.36,1,Not from Cross,1,0,0
Match 3,68:57,On Target,Matías Defederico,Mumbai City FC,FC Pune City,4.88,36.71,20.51,41.85,1,Not from Cross,1,0,0
Match 3,70:16,Off Target,Jesus Tato,FC Pune City,Mumbai City FC,2.2,27.17,21.98,41.61,-1,Not from Cross,1,0,0
Match 3,73:15,On Target,Jesus Tato,FC Pune City,Mumbai City FC,2.93,28.64,6.84,23.99,-1,Not from Cross,1,0,0
Match 3,75:41,On Target,Otacilio Alves,Mumbai City FC,FC Pune City,8.06,37.2,20.27,41.61,1,Not from Cross,1,0,0
Match 3,81:22,On Target,Jesus Tato,FC Pune City,Mumbai City FC,4.15,27.66,14.41,21.29,-1,Not from Cross,1,0,0
Match 3,83:51,Off Target,Léo Costa,Mumbai City FC,FC Pune City,5.13,31.08,29.06,49.2,1,Not from Cross,1,0,0
Match 3,90:7,Off Target,Rahul Bheke,FC Pune City,Mumbai City FC,1.71,39.65,26.37,22.03,-1,Not from Cross,1,0,0
Match 3,91:0,On Target,Jackichand Singh,Mumbai City FC,FC Pune City,101.58,33.04,100.12,26.19,1,Not from Cross,1,0,0
Match 3,92:0,On Target,Krisztián Vadócz,Mumbai City FC,FC Pune City,7.33,37.45,22.22,38.43,1,Directly from Cross,0,0,1
Match 4,7:26,On Target,Rafael Dumas,FC Goa,NorthEast United FC,4.88,32.31,7.81,27.9,0,Not from Cross,1,0,0
Match 4,11:52,On Target,Katsumi Yusa,NorthEast United FC,FC Goa,4.4,26.92,9.52,21.29,0,Not from Cross,1,0,0
Match 4,19:38,Off Target,Koffi N'dri,NorthEast United FC,FC Goa,1.22,24.48,24.91,42.1,0,Not from Cross,1,0,0
Match 4,20:29,On Target,Emiliano Alfaro,NorthEast United FC,FC Goa,1.22,32.55,4.15,31.08,0,Not from Cross,1,0,0
Match 4,20:29,Goal,Emiliano Alfaro,NorthEast United FC,FC Goa,0.98,32.55,4.88,31.08,1,Not from Cross,1,0,0
Match 4,38:40,On Target,Joffre Gonzalez,FC Goa,NorthEast United FC,5.13,36.96,14.65,34.51,-1,Indirectly from Cross,0,1,0
Match 4,38:49,Off Target,Fulganco Cardozo,FC Goa,NorthEast United FC,3.91,43.57,20.51,44.3,-1,Not from Cross,1,0,0
Match 4,43:20,Off Target,Rafael Luiz,FC Goa,NorthEast United FC,4.15,29.62,28.33,39.16,-1,Not from Cross,1,0,0
Match 4,54:37,On Target,Trindade Goncalves,FC Goa,NorthEast United FC,2.44,35.24,27.35,32.8,-1,Not from Cross,1,0,0
Match 4,58:44,On Target,Mandar Dessai,FC Goa,NorthEast United FC,2.44,30.35,17.58,38.92,-1,Not from Cross,1,0,0
Match 4,58:50,On Target,Trindade Goncalves,FC Goa,NorthEast United FC,2.2,30.1,24.66,44.3,-1,Not from Cross,1,0,0
Match 4,61:6,Off Target,Joffre Gonzalez,FC Goa,NorthEast United FC,1.47,26.92,27.59,31.08,-1,Not from Cross,1,0,0
Match 4,62:33,On Target,Emiliano Alfaro,NorthEast United FC,FC Goa,4.15,37.69,13.67,25.45,1,Not from Cross,1,0,0
Match 4,62:33,Goal,Emiliano Alfaro,NorthEast United FC,FC Goa,3.66,37.45,12.45,23.74,2,Not from Cross,1,0,0
Match 4,68:36,Off Target,Trindade Goncalves,FC Goa,NorthEast United FC,1.22,32.31,30.03,30.84,-2,Not from Cross,1,0,0
Match 4,74:10,On Target,Reinaldo Oliveira,FC Goa,NorthEast United FC,2.69,30.1,13.19,23.5,-2,Not from Cross,1,0,0
Match 4,81:10,On Target,Emiliano Alfaro,NorthEast United FC,FC Goa,8.3,36.22,16.12,35.0,2,Indirectly from Cross,0,1,0
Match 4,83:4,Off Target,Julio Cesar,FC Goa,NorthEast United FC,1.22,26.43,26.62,32.55,-2,Not from Cross,1,0,0
Match 4,89:15,Off Target,Julio Cesar,FC Goa,NorthEast United FC,0.49,32.06,13.67,40.38,-2,Not from Cross,1,0,0
Match 4,92:0,On Target,Trindade Goncalves,FC Goa,NorthEast United FC,2.44,34.51,30.03,43.81,-2,Not from Cross,1,0,0
Match 5,4:55,Off Target,Hélder Postiga,Atlético de Kolkata,Kerala Blasters FC,1.0,29.0,13.0,32.0,0,Directly from Cross,0,0,1
Match 5,6:13,Off Target,Duckens Nazon,Kerala Blasters FC,Atlético de Kolkata,5.0,41.0,18.0,30.0,0,Not from Cross,1,0,0
Match 5,10:16,Off Target,Javier Grande,Atlético de Kolkata,Kerala Blasters FC,3.0,27.0,29.0,46.0,0,Not from Cross,1,0,0
Match 5,26:56,On Target,Sameehg Doutie,Atlético de Kolkata,Kerala Blasters FC,8.0,33.0,15.0,24.0,0,Not from Cross,1,0,0
Match 5,26:57,On Target,Javier Grande,Atlético de Kolkata,Kerala Blasters FC,9.0,32.0,17.0,30.0,0,Not from Cross,1,0,0
Match 5,27:38,Off Target,Antonio German,Kerala Blasters FC,Atlético de Kolkata,9.0,35.0,17.0,38.0,0,Not from Cross,1,0,0
Match 5,29:40,On Target,Jewel Shaikh,Atlético de Kolkata,Kerala Blasters FC,10.0,34.0,33.0,40.0,0,Not from Cross,1,0,0
Match 5,31:53,Off Target,Antonio German,Kerala Blasters FC,Atlético de Kolkata,10.0,32.0,25.0,43.0,0,Not from Cross,1,0,0
Match 5,33:26,Off Target,Mohammed Rafique,Kerala Blasters FC,Atlético de Kolkata,11.0,43.0,26.0,49.0,0,Not from Cross,1,0,0
Match 5,34:53,Off Target,Borja Fernández,Atlético de Kolkata,Kerala Blasters FC,7.0,40.0,55.0,12.0,0,Not from Cross,1,0,0
Match 5,49:30,Off Target,Juan Belencoso,Atlético de Kolkata,Kerala Blasters FC,11.0,43.0,21.0,40.0,0,Indirectly from Cross,0,1,0
Match 5,53:11,On Target,Javier Grande,Atlético de Kolkata,Kerala Blasters FC,11.0,40.0,29.0,40.0,0,Not from Cross,1,0,0
Match 5,53:11,Goal,Javier Grande,Atlético de Kolkata,Kerala Blasters FC,9.0,40.0,30.0,39.0,1,Not from Cross,1,0,0
Match 5,61:49,Off Target,Javier Grande,Atlético de Kolkata,Kerala Blasters FC,10.0,31.0,28.0,53.0,1,Not from Cross,1,0,0
Match 5,75:55,Off Target,Jewel Shaikh,Atlético de Kolkata,Kerala Blasters FC,10.0,38.0,23.0,40.0,1,Not from Cross,1,0,0
Match 5,90:0,Off Target,Cedric Hengbart,Kerala Blasters FC,Atlético de Kolkata,7.0,28.0,12.0,28.0,-1,Not from Cross,1,0,0
Match 6,2:35,On Target,Baljit Sahni,Chennaiyin FC,Delhi Dynamos FC,11.59,38.43,28.44,26.19,0,Not from Cross,1,0,0
Match 6,8:45,Off Target,MacPherlin Omagbemi,Chennaiyin FC,Delhi Dynamos FC,9.41,37.45,21.0,37.69,0,Not from Cross,1,0,0
Match 6,9:39,Off Target,Bernard Mendy,Chennaiyin FC,Delhi Dynamos FC,8.53,34.27,13.56,38.67,0,Not from Cross,1,0,0
Match 6,10:55,On Target,Jeje Lalpekhlua,Chennaiyin FC,Delhi Dynamos FC,12.91,38.43,26.03,39.16,0,Not from Cross,1,0,0
Match 6,11:39,On Target,Kean Lewis,Delhi Dynamos FC,Chennaiyin FC,10.28,33.78,24.5,40.14,0,Not from Cross,1,0,0
Match 6,11:53,Off Target,MacPherlin Omagbemi,Chennaiyin FC,Delhi Dynamos FC,10.28,44.06,30.62,44.79,0,Not from Cross,1,0,0
Match 6,12:50,On Target,Kean Lewis,Delhi Dynamos FC,Chennaiyin FC,9.41,32.31,26.91,44.3,0,Not from Cross,1,0,0
Match 6,13:47,Off Target,M'rajuddin Wadoo,Chennaiyin FC,Delhi Dynamos FC,10.94,28.64,35.0,26.19,0,Not from Cross,1,0,0
Match 6,15:6,On Target,Marcelo Pereira,Delhi Dynamos FC,Chennaiyin FC,9.41,32.55,27.13,32.8,0,Not from Cross,1,0,0
Match 6,21:53,On Target,Jayesh Rane,Chennaiyin FC,Delhi Dynamos FC,12.47,39.16,28.66,52.13,0,Not from Cross,1,0,0
Match 6,26:16,On Target,Marcelo Pereira,Delhi Dynamos FC,Chennaiyin FC,6.34,34.76,16.19,32.31,0,Not from Cross,1,0,0
Match 6,29:21,Off Target,Jayesh Rane,Chennaiyin FC,Delhi Dynamos FC,10.06,37.69,20.12,59.48,-1,Not from Cross,1,0,0
Match 6,32:15,On Target,MacPherlin Omagbemi,Chennaiyin FC,Delhi Dynamos FC,9.62,39.9,23.19,45.52,-1,Not from Cross,1,0,0
Match 6,32:15,Goal,MacPherlin Omagbemi,Chennaiyin FC,Delhi Dynamos FC,11.59,40.14,22.31,48.22,0,Not from Cross,1,0,0
Match 6,34:33,On Target,Marcelo Pereira,Delhi Dynamos FC,Chennaiyin FC,7.88,35.73,24.94,39.9,0,Not from Cross,1,0,0
Match 6,34:33,Goal,Marcelo Pereira,Delhi Dynamos FC,Chennaiyin FC,7.0,35.73,26.25,38.92,1,Not from Cross,1,0,0
Match 6,37:24,Off Target,Kean Lewis,Delhi Dynamos FC,Chennaiyin FC,6.56,25.94,21.0,32.06,1,Not from Cross,1,0,0
Match 6,40:24,On Target,Marcelo Pereira,Delhi Dynamos FC,Chennaiyin FC,7.44,30.84,28.44,15.17,1,Not from Cross,1,0,0
Match 6,60:43,Off Target,MacPherlin Omagbemi,Chennaiyin FC,Delhi Dynamos FC,7.88,27.17,16.19,29.86,-1,Indirectly from Cross,0,1,0
Match 6,68:55,Off Target,Milan Singh,Delhi Dynamos FC,Chennaiyin FC,10.28,34.76,34.56,32.31,1,Not from Cross,1,0,0
Match 6,84:15,On Target,Badara Badji,Delhi Dynamos FC,Chennaiyin FC,11.59,35.24,18.81,34.27,1,Indirectly from Cross,0,1,0
Match 6,84:15,Goal,Badara Badji,Delhi Dynamos FC,Chennaiyin FC,10.72,35.98,18.37,34.27,2,Indirectly from Cross,0,1,0
Match 6,90:51,Off Target,Badara Badji,Delhi Dynamos FC,Chennaiyin FC,10.5,30.1,24.06,37.45,2,Not from Cross,1,0,0
Match 7,2:34,On Target,Diego Forlán,Mumbai City FC,NorthEast United FC,10.94,39.65,29.75,62.17,0,Not from Cross,1,0,0
Match 7,11:53,Off Target,Koffi N'dri,NorthEast United FC,Mumbai City FC,6.34,25.45,28.88,41.61,0,Not from Cross,1,0,0
Match 7,13:0,Off Target,Matías Defederico,Mumbai City FC,NorthEast United FC,8.75,41.12,27.56,52.13,0,Not from Cross,1,0,0
Match 7,15:42,On Target,Koffi N'dri,NorthEast United FC,Mumbai City FC,7.88,30.35,26.03,34.51,0,Not from Cross,1,0,0
Match 7,19:54,On Target,Aiborlang Khongjee,Mumbai City FC,NorthEast United FC,10.28,39.65,34.12,17.13,0,Not from Cross,1,0,0
Match 7,21:47,On Target,Koffi N'dri,NorthEast United FC,Mumbai City FC,7.22,30.35,24.94,35.73,0,Indirectly from Cross,0,1,0
Match 7,26:47,Off Target,Sehnaj Singh,Mumbai City FC,NorthEast United FC,8.53,29.37,37.62,24.48,0,Not from Cross,1,0,0
Match 7,40:29,Off Target,Katsumi Yusa,NorthEast United FC,Mumbai City FC,6.34,29.86,20.56,35.73,0,Not from Cross,1,0,0
Match 7,45:9,On Target,Emiliano Alfaro,NorthEast United FC,Mumbai City FC,12.25,32.06,16.63,32.55,0,Not from Cross,1,0,0
Match 7,51:9,Off Target,Matías Defederico,Mumbai City FC,NorthEast United FC,6.78,25.21,20.34,39.9,0,Not from Cross,1,0,0
Match 7,55:53,On Target,Diego Forlán,Mumbai City FC,NorthEast United FC,6.56,32.31,17.28,32.55,0,Not from Cross,1,0,0
Match 7,74:27,On Target,Emiliano Alfaro,NorthEast United FC,Mumbai City FC,10.94,35.24,15.97,21.29,-1,Not from Cross,1,0,0
Match 7,77:13,On Target,Katsumi Yusa,NorthEast United FC,Mumbai City FC,10.72,40.63,17.94,48.95,-1,Not from Cross,1,0,0
Match 7,79:14,Off Target,Holicharan Narzary,NorthEast United FC,Mumbai City FC,9.19,31.82,32.81,16.15,-1,Not from Cross,1,0,0
Match 7,82:21,On Target,Otacilio Alves,Mumbai City FC,NorthEast United FC,8.09,30.35,29.09,24.23,1,Not from Cross,1,0,0
Match 8,7:58,On Target,Rafael Luiz,FC Goa,FC Pune City,15.09,35.0,24.5,44.79,0,Not from Cross,1,0,0
Match 8,10:14,Off Target,Rafael Luiz,FC Goa,FC Pune City,6.34,23.99,20.34,23.01,0,Not from Cross,1,0,0
Match 8,25:49,On Target,Jonatan Lucca,FC Pune City,FC Goa,10.06,39.9,35.66,37.45,0,Not from Cross,1,0,0
Match 8,25:55,On Target,Arata Izumi,FC Pune City,FC Goa,8.97,40.38,18.37,40.14,0,Not from Cross,1,0,0
Match 8,25:55,Goal,Arata Izumi,FC Pune City,FC Goa,8.75,39.65,16.62,38.67,1,Not from Cross,1,0,0
Match 8,28:5,Off Target,Sanjay Balmuchu,FC Goa,FC Pune City,6.13,40.63,40.03,31.57,-1,Not from Cross,1,0,0
Match 8,33:6,On Target,Rafael Luiz,FC Goa,FC Pune City,7.0,35.73,18.16,24.48,-1,Not from Cross,1,0,0
Match 8,33:6,Goal,Rafael Luiz,FC Goa,FC Pune City,6.34,35.73,18.16,25.21,0,Not from Cross,1,0,0
Match 8,36:44,Off Target,Joffre Gonzalez,FC Goa,FC Pune City,6.34,29.62,30.63,23.01,0,Not from Cross,1,0,0
Match 8,41:12,On Target,Lucio,FC Goa,FC Pune City,8.75,29.62,17.06,26.68,0,Not from Cross,1,0,0
Match 8,44:58,On Target,Mohamed Sissoko,FC Pune City,FC Goa,17.28,39.9,31.28,37.94,0,Not from Cross,1,0,0
Match 8,51:32,On Target,Rafael Luiz,FC Goa,FC Pune City,10.28,35.0,34.78,34.27,0,Not from Cross,1,0,0
Match 8,53:51,On Target,Romeo Fernandes,FC Goa,FC Pune City,10.5,39.65,18.16,44.06,0,Not from Cross,1,0,0
Match 8,54:37,Off Target,Romeo Fernandes,FC Goa,FC Pune City,8.09,31.33,19.47,22.76,0,Not from Cross,1,0,0
Match 8,61:21,On Target,Anibal Rodriguez,FC Pune City,FC Goa,15.31,27.41,19.25,23.01,0,Not from Cross,1,0,0
Match 8,61:44,On Target,Jonatan Lucca,FC Pune City,FC Goa,7.88,32.31,32.38,28.39,0,Not from Cross,1,0,0
Match 8,69:58,On Target,Trindade Goncalves,FC Goa,FC Pune City,8.53,37.45,20.12,41.61,0,Indirectly from Cross,0,1,0
Match 8,71:27,Off Target,Rafael Luiz,FC Goa,FC Pune City,8.31,38.18,19.03,36.22,0,Not from Cross,1,0,0
Match 8,71:57,Off Target,Julio Cesar,FC Goa,FC Pune City,8.53,27.66,33.47,48.95,0,Not from Cross,1,0,0
Match 8,79:5,On Target,Joffre Gonzalez,FC Goa,FC Pune City,12.25,36.71,37.62,20.07,0,Not from Cross,1,0,0
Match 8,83:32,On Target,Rafael Luiz,FC Goa,FC Pune City,11.16,37.2,34.34,42.34,0,Not from Cross,1,0,0
Match 8,89:51,Off Target,Julio Cesar,FC Goa,FC Pune City,8.09,38.18,32.37,20.8,0,Not from Cross,1,0,0
Match 8,90:23,On Target,Momar Ndoye,FC Pune City,FC Goa,6.56,35.73,21.66,38.67,0,Not from Cross,1,0,0
Match 8,90:23,Goal,Momar Ndoye,FC Pune City,FC Goa,6.56,35.0,21.22,38.18,1,Not from Cross,1,0,0
Match 8,93:0,On Target,Sahil Tavora,FC Goa,FC Pune City,15.75,41.61,28.22,48.95,-1,Not from Cross,1,0,0
Match 8,94:0,Off Target,Sahil Tavora,FC Goa,FC Pune City,8.31,40.38,25.37,47.73,-1,Not from Cross,1,0,0
Match 9,12:50,Off Target,Michael Chopra,Kerala Blasters FC,Delhi Dynamos FC,8.09,29.37,30.62,31.82,0,Not from Cross,1,0,0
Match 9,16:2,Off Target,Milan Singh,Delhi Dynamos FC,Kerala Blasters FC,6.78,39.65,28.0,20.07,0,Not from Cross,1,0,0
Match 9,25:29,On Target,Milan Singh,Delhi Dynamos FC,Kerala Blasters FC,7.88,29.86,31.06,28.39,0,Not from Cross,1,0,0
Match 9,28:41,Off Target,L'awnkima,Delhi Dynamos FC,Kerala Blasters FC,5.91,23.01,30.63,28.39,0,Not from Cross,1,0,0
Match 9,39:31,Off Target,Mohammed Rafique,Kerala Blasters FC,Delhi Dynamos FC,8.53,44.06,31.28,40.14,0,Not from Cross,1,0,0
Match 9,40:47,Off Target,Antonio German,Kerala Blasters FC,Delhi Dynamos FC,15.97,32.8,33.47,43.32,0,Not from Cross,1,0,0
Match 9,45:35,On Target,Michael Chopra,Kerala Blasters FC,Delhi Dynamos FC,10.94,34.76,16.84,24.48,0,Not from Cross,1,0,0
Match 9,61:19,On Target,Marcelo Pereira,Delhi Dynamos FC,Kerala Blasters FC,10.94,37.2,15.97,11.26,0,Not from Cross,1,0,0
Match 10,2:48,Off Target,Léo Costa,Mumbai City FC,Atlético de Kolkata,5.69,35.24,26.91,30.1,0,Not from Cross,1,0,0
Match 10,3:42,Off Target,Krisztián Vadócz,Mumbai City FC,Atlético de Kolkata,4.81,34.02,28.44,26.68,0,Not from Cross,1,0,0
Match 10,6:3,On Target,Sameehg Doutie,Atlético de Kolkata,Mumbai City FC,11.81,37.69,20.34,33.53,0,Indirectly from Cross,0,1,0
Match 10,10:2,On Target,Matías Defederico,Mumbai City FC,Atlético de Kolkata,8.09,32.06,29.31,26.92,0,Indirectly from Cross,0,1,0
Match 10,11:49,Off Target,Krisztián Vadócz,Mumbai City FC,Atlético de Kolkata,5.69,32.31,11.16,32.06,0,Not from Cross,1,0,0
Match 10,12:43,On Target,Boithang Haokip,Mumbai City FC,Atlético de Kolkata,8.09,35.73,16.84,40.63,0,Not from Cross,1,0,0
Match 10,12:59,Off Target,Léo Costa,Mumbai City FC,Atlético de Kolkata,6.34,43.08,26.69,24.72,0,Not from Cross,1,0,0
Match 10,20:29,Off Target,Borja Fernández,Atlético de Kolkata,Mumbai City FC,10.72,44.06,28.44,28.88,0,Not from Cross,1,0,0
Match 10,23:35,On Target,Javier Grande,Atlético de Kolkata,Mumbai City FC,12.25,36.71,26.69,63.64,0,Not from Cross,1,0,0
Match 10,25:15,Off Target,Krisztián Vadócz,Mumbai City FC,Atlético de Kolkata,6.34,41.36,18.81,32.06,0,Not from Cross,1,0,0
Match 10,27:18,On Target,Matías Defederico,Mumbai City FC,Atlético de Kolkata,7.44,30.84,26.03,34.51,0,Not from Cross,1,0,0
Match 10,27:18,Goal,Matías Defederico,Mumbai City FC,Atlético de Kolkata,6.56,30.84,27.13,34.76,1,Not from Cross,1,0,0
Match 10,42:37,Off Target,Juan Belencoso,Atlético de Kolkata,Mumbai City FC,10.94,43.32,17.94,36.22,-1,Not from Cross,1,0,0
Match 10,47:11,On Target,Juan Belencoso,Atlético de Kolkata,Mumbai City FC,9.19,34.51,18.38,16.64,-1,Not from Cross,1,0,0
Match 10,47:48,Off Target,Krisztián Vadócz,Mumbai City FC,Atlético de Kolkata,17.56,26.34,34.76,47.8,1,Not from Cross,1,0,0
Match 10,53:16,Off Target,Léo Costa,Mumbai City FC,Atlético de Kolkata,11.77,46.59,28.78,27.07,1,Not from Cross,1,0,0
